vce	I(Ib)
Step Information: Ib=1µ  (Run: 1/6)
0.000000000000000e+000	1.000000e-006
1.000000000000000e-002	1.000000e-006
2.000000000000000e-002	1.000000e-006
3.000000000000000e-002	1.000000e-006
4.000000000000000e-002	1.000000e-006
5.000000000000000e-002	1.000000e-006
6.000000000000001e-002	1.000000e-006
7.000000000000001e-002	1.000000e-006
8.000000000000000e-002	1.000000e-006
9.000000000000000e-002	1.000000e-006
9.999999999999999e-002	1.000000e-006
1.100000000000000e-001	1.000000e-006
1.200000000000000e-001	1.000000e-006
1.300000000000000e-001	1.000000e-006
1.400000000000000e-001	1.000000e-006
1.500000000000000e-001	1.000000e-006
1.600000000000000e-001	1.000000e-006
1.700000000000000e-001	1.000000e-006
1.800000000000000e-001	1.000000e-006
1.900000000000000e-001	1.000000e-006
2.000000000000000e-001	1.000000e-006
2.100000000000001e-001	1.000000e-006
2.200000000000001e-001	1.000000e-006
2.300000000000001e-001	1.000000e-006
2.400000000000001e-001	1.000000e-006
2.500000000000001e-001	1.000000e-006
2.600000000000001e-001	1.000000e-006
2.700000000000001e-001	1.000000e-006
2.800000000000001e-001	1.000000e-006
2.900000000000001e-001	1.000000e-006
3.000000000000001e-001	1.000000e-006
3.100000000000001e-001	1.000000e-006
3.200000000000001e-001	1.000000e-006
3.300000000000001e-001	1.000000e-006
3.400000000000001e-001	1.000000e-006
3.500000000000001e-001	1.000000e-006
3.600000000000002e-001	1.000000e-006
3.700000000000002e-001	1.000000e-006
3.800000000000002e-001	1.000000e-006
3.900000000000002e-001	1.000000e-006
4.000000000000002e-001	1.000000e-006
4.100000000000002e-001	1.000000e-006
4.200000000000002e-001	1.000000e-006
4.300000000000002e-001	1.000000e-006
4.400000000000002e-001	1.000000e-006
4.500000000000002e-001	1.000000e-006
4.600000000000002e-001	1.000000e-006
4.700000000000003e-001	1.000000e-006
4.800000000000003e-001	1.000000e-006
4.900000000000003e-001	1.000000e-006
5.000000000000002e-001	1.000000e-006
5.100000000000002e-001	1.000000e-006
5.200000000000002e-001	1.000000e-006
5.300000000000003e-001	1.000000e-006
5.400000000000003e-001	1.000000e-006
5.500000000000003e-001	1.000000e-006
5.600000000000003e-001	1.000000e-006
5.700000000000003e-001	1.000000e-006
5.800000000000003e-001	1.000000e-006
5.900000000000003e-001	1.000000e-006
6.000000000000003e-001	1.000000e-006
6.100000000000003e-001	1.000000e-006
6.200000000000003e-001	1.000000e-006
6.300000000000003e-001	1.000000e-006
6.400000000000004e-001	1.000000e-006
6.500000000000004e-001	1.000000e-006
6.600000000000004e-001	1.000000e-006
6.700000000000004e-001	1.000000e-006
6.800000000000004e-001	1.000000e-006
6.900000000000004e-001	1.000000e-006
7.000000000000004e-001	1.000000e-006
7.100000000000004e-001	1.000000e-006
7.200000000000004e-001	1.000000e-006
7.300000000000004e-001	1.000000e-006
7.400000000000004e-001	1.000000e-006
7.500000000000004e-001	1.000000e-006
7.600000000000005e-001	1.000000e-006
7.700000000000005e-001	1.000000e-006
7.800000000000005e-001	1.000000e-006
7.900000000000005e-001	1.000000e-006
8.000000000000005e-001	1.000000e-006
