time	V(vin)	V(vout)
1.838971875149584e-003	-8.477717e-003	-8.210819e-003
1.858503125149584e-003	-7.764741e-003	-7.519359e-003
1.887800000149584e-003	-6.480135e-003	-6.274249e-003
1.917096875149584e-003	-4.976572e-003	-4.817613e-003
1.946393750149584e-003	-3.304856e-003	-3.198639e-003
1.975690625149583e-003	-1.521471e-003	-1.472005e-003
1.986851339435297e-003	-8.166451e-004	-7.897270e-004
1.998012053721011e-003	-1.163449e-004	-1.118910e-004
2.009172768006725e-003	5.794294e-004	5.615031e-004
2.020333482292440e-003	1.270678e-003	1.230455e-003
2.031494196578154e-003	1.957401e-003	1.894966e-003
2.042654910863868e-003	2.639598e-003	2.555034e-003
2.053815625149582e-003	3.317269e-003	3.210661e-003
2.083112500149581e-003	4.987979e-003	4.826691e-003
2.112409375149580e-003	6.490150e-003	6.279186e-003
2.141706250149580e-003	7.773024e-003	7.519038e-003
2.161237500149579e-003	8.484687e-003	8.206427e-003
2.180768750149579e-003	9.068731e-003	8.770147e-003
2.200300000149578e-003	9.516373e-003	9.201713e-003
2.219831250149578e-003	9.820880e-003	9.494628e-003
2.239362500149578e-003	9.977672e-003	9.644479e-003
2.258893750149577e-003	9.984391e-003	9.649012e-003
2.278425000149577e-003	9.840935e-003	9.508159e-003
2.297956250149576e-003	9.549461e-003	9.224039e-003
2.317487500149576e-003	9.114356e-003	8.800931e-003
2.337018750149575e-003	8.542161e-003	8.245206e-003
2.356550000149575e-003	7.841486e-003	7.565229e-003
2.385846875149574e-003	6.573111e-003	6.335160e-003
2.415143750149574e-003	5.082638e-003	4.890556e-003
2.444440625149573e-003	3.420427e-003	3.280261e-003
2.473737500149573e-003	1.642643e-003	1.558710e-003
2.484898214435287e-003	9.388741e-004	8.773853e-004
2.496058928721001e-003	2.390329e-004	1.999581e-004
2.507219643006715e-003	-4.568802e-004	-4.735720e-004
2.518380357292429e-003	-1.148865e-003	-1.143205e-003
2.529541071578143e-003	-1.836922e-003	-1.808941e-003
2.540701785863857e-003	-2.521052e-003	-2.470779e-003
2.551862500149571e-003	-3.201253e-003	-3.128720e-003
2.581159375149570e-003	-4.881244e-003	-4.753265e-003
2.610456250149570e-003	-6.396302e-003	-6.217641e-003
2.639753125149569e-003	-7.695236e-003	-7.472398e-003
2.659284375149569e-003	-8.419101e-003	-8.171191e-003
2.678815625149568e-003	-9.016335e-003	-8.747314e-003
2.698346875149568e-003	-9.477955e-003	-9.192112e-003
2.717878125149567e-003	-9.797018e-003	-9.498900e-003
2.737409375149567e-003	-9.968725e-003	-9.663069e-003
2.756940625149567e-003	-9.990493e-003	-9.682152e-003
2.776471875149566e-003	-9.861995e-003	-9.555863e-003
2.796003125149566e-003	-9.585162e-003	-9.286100e-003
2.815534375149565e-003	-9.164160e-003	-8.876915e-003
2.835065625149565e-003	-8.605321e-003	-8.334456e-003
2.854596875149564e-003	-7.917049e-003	-7.666874e-003
2.883893750149564e-003	-6.665097e-003	-6.453318e-003
2.913190625149563e-003	-5.187938e-003	-5.022184e-003
2.942487500149563e-003	-3.535483e-003	-3.421797e-003
2.971784375149562e-003	-1.763568e-003	-1.706207e-003
2.982945089435276e-003	-1.060962e-003	-1.026056e-003
2.994105803720990e-003	-3.616848e-004	-3.491889e-004
3.005266518006704e-003	3.342623e-004	3.243939e-004
3.016427232292418e-003	1.026880e-003	9.946925e-004
3.027587946578132e-003	1.716167e-003	1.661707e-003
3.038748660863846e-003	2.402126e-003	2.325437e-003
3.049909375149560e-003	3.084754e-003	2.985883e-003
3.079206250149560e-003	4.773773e-003	4.619690e-003
3.108503125149559e-003	6.301491e-003	6.096966e-003
3.137800000149558e-003	7.616288e-003	7.367765e-003
3.157331250149558e-003	8.352248e-003	8.078702e-003
3.176862500149558e-003	8.962582e-003	8.667897e-003
3.196393750149557e-003	9.438111e-003	9.126479e-003
3.215925000149557e-003	9.771681e-003	9.447544e-003
3.235456250149556e-003	9.958277e-003	9.626258e-003
3.254987500149556e-003	9.995090e-003	9.659930e-003
3.274518750149556e-003	9.881568e-003	9.548054e-003
3.294050000149555e-003	9.619419e-003	9.292314e-003
3.313581250149555e-003	9.212584e-003	8.896559e-003
3.333112500149554e-003	8.667183e-003	8.366751e-003
3.352643750149554e-003	7.991420e-003	7.710863e-003
3.372175000149553e-003	7.195459e-003	6.938771e-003
3.401471875149553e-003	5.802784e-003	5.588611e-003
3.430768750149552e-003	4.214039e-003	4.049163e-003
3.460065625149552e-003	2.482905e-003	2.372473e-003
3.471226339435266e-003	1.789490e-003	1.701052e-003
3.482387053720980e-003	1.095807e-003	1.029468e-003
3.493547768006694e-003	4.018559e-004	3.577200e-004
3.504708482292408e-003	-2.923627e-004	-3.141912e-004
3.515869196578122e-003	-9.868492e-004	-9.862657e-004
3.527029910863836e-003	-1.681604e-003	-1.658504e-003
3.538190625149550e-003	-2.376626e-003	-2.330905e-003
3.567487500149549e-003	-4.114428e-003	-4.011680e-003
3.596784375149549e-003	-5.713207e-003	-5.557326e-003
3.626081250149548e-003	-7.118943e-003	-6.915645e-003
3.645612500149548e-003	-7.925079e-003	-7.694161e-003
3.665143750149547e-003	-8.612014e-003	-8.357175e-003
3.684675000149547e-003	-9.169417e-003	-8.894722e-003
3.704206250149546e-003	-9.588904e-003	-9.298726e-003
3.723737500149546e-003	-9.864164e-003	-9.563116e-003
3.743268750149546e-003	-9.991057e-003	-9.683920e-003
3.762800000149545e-003	-9.967676e-003	-9.659322e-003
3.782331250149545e-003	-9.794373e-003	-9.489693e-003
3.801862500149544e-003	-9.473752e-003	-9.177580e-003
3.821393750149544e-003	-9.010638e-003	-8.727674e-003
3.840925000149543e-003	-8.411995e-003	-8.146735e-003
3.860456250149543e-003	-7.686828e-003	-7.443490e-003
3.889753125149542e-003	-6.386184e-003	-6.182883e-003
3.919050000149542e-003	-4.869758e-003	-4.713825e-003
3.948346875149542e-003	-3.188787e-003	-3.085922e-003
3.977643750149541e-003	-1.400070e-003	-1.354155e-003
3.988804464435255e-003	-6.942933e-004	-6.709674e-004
3.999965178720969e-003	6.360420e-006	7.199938e-006
4.011125893006683e-003	7.018912e-004	6.803475e-004
4.022286607292397e-003	1.392299e-003	1.348475e-003
4.033447321578111e-003	2.077584e-003	2.011583e-003
4.044608035863825e-003	2.757746e-003	2.669672e-003
4.055768750149539e-003	3.432786e-003	3.322740e-003
4.085065625149539e-003	5.093963e-003	4.929516e-003
4.114362500149538e-003	6.583020e-003	6.369292e-003
4.143659375149537e-003	7.849643e-003	7.593389e-003
4.163190625149537e-003	8.548995e-003	8.268846e-003
4.182721875149537e-003	9.119761e-003	8.819701e-003
4.202253125149536e-003	9.553358e-003	9.237661e-003
4.221784375149536e-003	9.843263e-003	9.516432e-003
4.241315625149535e-003	9.985116e-003	9.651817e-003
4.260846875149535e-003	9.976785e-003	9.641779e-003
4.280378125149534e-003	9.818393e-003	9.486467e-003
4.299909375149534e-003	9.512323e-003	9.188220e-003
4.319440625149534e-003	9.063180e-003	8.751530e-003
4.338971875149533e-003	8.477717e-003	8.182971e-003
4.358503125149533e-003	7.764741e-003	7.491103e-003
4.387800000149532e-003	6.480135e-003	6.245350e-003
4.417096875149532e-003	4.976572e-003	4.788109e-003
4.446393750149531e-003	3.304856e-003	3.168651e-003
